ID,Feedground,Capture Date,Start Interval,Stop Interval,Event Type,Brucella,Data Quality
001,Dell,1/18/2008,5/28/2008,5/30/2008,Birth,NEG,2
002,Dell,1/18/2008,6/9/2008,6/21/2008,Birth,POS,2
003,Dell,1/18/2008,5/30/2008,6/5/2008,Birth,POS,2
005,Dell,1/18/2008,1/18/2008,5/24/2008,Birth,NEG,5
006,Dell,1/18/2008,6/9/2008,6/21/2008,Birth,NEG,2
007,Dell,1/25/2008,5/22/2008,5/23/2008,Birth,POS,1
008,Dell,1/25/2008,3/8/2008,3/9/2008,Abortion,POS,1
010,Dell,1/25/2008,3/13/2008,3/14/2008,Abortion,POS,1
017,Bench,2/18/2008,5/24/2008,5/25/2008,Birth,NEG,1
018,Bench,2/18/2008,5/27/2008,5/28/2008,Birth,NEG,1
019,Bench,2/7/2006,5/31/2006,6/5/2006,Birth,NEG,2
019,Bench,2/18/2008,5/30/2008,6/5/2008,Birth,NEG,2
020,Bench,2/18/2008,5/28/2008,5/29/2008,Birth,NEG,1
021,Greys,2/19/2008,6/18/2008,6/21/2008,Birth,NEG,2
022,Greys,2/16/2009,6/6/2009,6/7/2009,Birth,NEG,1
022,Greys,2/19/2008,5/27/2008,5/28/2008,Birth,NEG,1
024,Greys,2/19/2008,6/1/2008,6/2/2008,Birth,NEG,1
025,Greys,2/19/2008,6/16/2008,6/17/2008,Birth,POS,1
026,Greys,1/21/2010,6/1/2010,6/2/2010,Birth,POS,1
026,Greys,2/19/2008,5/25/2008,5/26/2008,Birth,POS,1
027,Greys,2/19/2008,6/13/2008,6/14/2008,Birth,NEG,1
028,Greys,2/19/2008,5/11/2008,5/13/2008,Birth,POS,2
029,Soda,2/28/2006,,,Unknown,NEG,7
029,Soda,3/13/2011,6/5/2011,6/6/2011,Birth,NEG,1
029,Soda,2/28/2006,2/28/2006,6/21/2006,Birth,NEG,5
029,Soda,2/20/2008,5/30/2008,6/6/2008,Birth,NEG,2
030,Soda,2/20/2008,5/29/2008,5/30/2008,Birth,NEG,1
031,Soda,2/28/2006,2/28/2006,6/23/2006,Birth,NEG,5
031,Soda,2/20/2008,,,Open,NEG,7
031,Soda,1/19/2007,6/25/2007,6/26/2007,Birth,NEG,1
032,Soda,3/9/2006,3/9/2006,6/19/2006,Birth,NEG,5
032,Soda,2/20/2008,5/28/2008,5/29/2008,Birth,POS,1
033,Soda,2/21/2006,2/21/2006,5/20/2006,Birth,NEG,5
033,Soda,1/19/2007,1/19/2007,5/13/2007,Abortion,NEG,5
041,Scab,3/1/2007,3/1/2007,5/30/2007,Birth,NEG,5
041,Scab,2/12/2006,5/25/2006,5/31/2006,Birth,NEG,2
041,Scab,2/23/2008,2/23/2008,6/1/2008,Birth,NEG,5
042,Greys,2/25/2008,,,Unknown,POS,7
043,Greys,2/25/2008,3/26/2008,3/28/2008,Abortion,POS,2
043,Greys,2/16/2009,7/24/2009,8/2/2009,Birth,POS,2
