Elk_ID	Feedground	CollarType	GPSCollar	CaptureDate	Start_Interval	Stop_Interval	TrustRating	VIT_Status	PET	CowSero	VIT_Bruc	Recovered	RecoveryInterval
029	Soda	None	No	3/5/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
031	Soda	GPS	Yes	2/20/2008	NA	NA	7	Open	NA	NEG	NA	NA	NA
042	Greys	VHF	No	2/25/2008	NA	NA	7	Unknown	NA	POS	NA	NA	NA
053	Bench	GPS	Yes	2/18/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
057	Scab	GPS	Yes	2/14/2007	NA	NA	7	Unknown	NA	NEG	NA	1/1/2007	NA
059	Soda	GPS	Yes	2/19/2007	NA	NA	7	Unknown	NA	POS	NA	1/1/2007	NA
060	Soda	GPS	Yes	2/19/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
075	Soda	None	No	2/11/2007	NA	NA	7	Unknown	NA	POS	NA	NA	NA
088	Soda	None	No	3/9/2006	NA	NA	7	Open	NA	NEG	NA	NA	NA
088	Soda	GPS	Yes	1/12/2009	NA	NA	7	Open	NA	NEG	NA	NA	NA
091	Dell	VHF	No	1/22/2009	NA	NA	7	Unknown	NA	POS	NA	NA	NA
096	Dell	GPS	Yes	1/14/2009	5/27/2009	5/29/2009	2	Parturition	Bad	NEG	NEG	NA	NA
096	Dell	VHF	No	2/7/2012	NA	NA	7	Open	NA	POS	NA	6/2/2009	NA
128	Greys	GPS	Yes	1/21/2010	2/2/2010	NA	7	Died	NA	POS	NA	2/2/2010	NA
165	Soda	None	No	2/22/2007	NA	NA	7	Unknown	NA	NEG	NEG	NA	NA
176	Dell	VHF	No	2/16/2010	NA	NA	7	Open	NA	NEG	NA	NA	NA
178	Dell	VHF	No	2/16/2010	NA	NA	7	Open	NA	POS	NA	NA	NA
182	Dell	VHF	No	2/16/2010	NA	NA	7	Open	NA	POS	NA	NA	NA
199	UGNWR	GPS	Yes	1/26/2010	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
217	HA99	GPS	Yes	3/15/2011	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
218	HA99	GPS	Yes	1/26/2010	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
222	HA99	GPS	Yes	3/15/2011	NA	NA	7	Open	NA	NEG	NA	NA	NA
285	Bench	None	No	2/26/2006	NA	NA	7	Open	NA	NEG	NA	NA	NA
291	Bench	None	No	2/14/2006	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
292	Bench	None	No	2/26/2006	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
321	Soda	None	No	2/21/2006	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
322	Soda	None	No	2/28/2006	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
323	Soda	VHF	No	2/22/2007	NA	NA	7	Unknown	NA	POS	NEG	NA	NA
324	Soda	None	No	3/9/2006	NA	NA	7	Open	NA	NEG	NA	NA	NA
325	Scab	None	No	1/5/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
326	Scab	None	No	1/5/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
330	Scab	None	No	1/5/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
335	Scab	None	No	1/23/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
344	Scab	None	No	2/23/2007	NA	NA	7	Unknown	NA	NEG	NA	NA	NA
348	Scab	None	No	2/26/2007	5/22/2007	NA	7	Died	NA	NEG	NEG	5/22/2007	NA
359	Soda	None	No	1/27/2007	NA	NA	7	Open	NA	NEG	NA	NA	NA
360	Soda	None	No	1/27/2007	NA	NA	7	Open	NA	NEG	NA	NA	NA
361	Soda	None	No	1/27/2007	NA	NA	7	Open	NA	POS	NA	NA	NA
